Modelo,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,Tiempo_entrenamiento,Tiempo_prediccion
SVM RBF,0.8686,0.8700496290765445,0.8686,0.8685322427585366,0.8685322427585368,52.63548803329468,3.7772703170776367
SVM Polynomial,0.8506,0.8581892649145721,0.8506,0.8506349437814353,0.8506349437814356,48.1713650226593,0.975341796875
Random Forest,0.8494,0.8515772266012978,0.8493999999999999,0.8498160007020535,0.8498160007020535,1.9802227020263672,0.1960890293121338
KNN,0.8492,0.8513643715948994,0.8492000000000001,0.849256391411138,0.8492563914111378,0.11475682258605957,0.30162835121154785
Logistic Regression,0.842,0.8428661801950332,0.842,0.8417498378123272,0.8417498378123272,0.879828929901123,0.006982326507568359
SVM Linear,0.8328,0.8336993158461518,0.8328,0.8317540799001202,0.8317540799001201,1.0690088272094727,0.023367643356323242
Perceptron,0.8022,0.8145243374609829,0.8022,0.8044592839133508,0.8044592839133505,0.07169389724731445,0.005668163299560547
Decision Tree,0.764,0.7632653112988488,0.764,0.7636007296979997,0.7636007296979999,1.6659443378448486,0.010924816131591797
Adaline (SGD),0.694,0.6903267149997175,0.6940000000000001,0.6884960204688476,0.6884960204688476,1.6477293968200684,0.08415484428405762
